Reference,Title,GEO Accession Number,DOI,Publication Year,Journal,Cell Line,Number of Cell Lines,Cell Line Sex,Cell Line Ancestry,hiPSC Matrix Coating,hiPSC Backbone Media,Seeding Confluency (%),hiPSC-CM Backbone Media,hiPSC-CM Media Supplements,Wnt Activator,Time of Wnt Activator (Start Day - End Day),Wnt Inhibitor,Time of Wnt Inhibitor (Start Day - End Day),Purification Protocol,Time of hiPSC-CM Purification (Start Day - End Day),Method to Assess Differentiation Purity,Differentiation Purity (%),hiPSC-CM Maintenance/Maturation Media (if different),hiPSC-CM Matrix Coating if Replated,Metabolic Maturation Technique,Metabolic Components,Metabolic Maturation Technique,Tension Maturation Technique,Other Cells Maturation Technique,Mechanical Maturation Technique,Cell Alignment Maturation Technique,Elastomeric Maturation Technique,ECM Maturation Technique,2D Surface,3D Platform,3D Cell Types,3D Stromal Cell Source,3D: Types of Endothelial Cell (EC) ,3D Tissue Media,3D Estimated Cell Density (mil cells/mL),3D Estimated Tissue Size (mm2),Immunofluorescent Imaging,Election Microscopy,Sarcomere/Cellular Alignment Analysis,Sarcomere Length (um),hiPSC-CM Cell Area (um2),T-tubule Observation,Contractile Analysis Method,Contractile Force (mN),Contractile Stress (mN/mm2),Contraction Upstroke Velocity (um/s),Calcium Handling Analysis Method,Calcium Flux Amplitude (F/F0),Beat Rate (bpm),Time to Calcium Flux Peak (ms),Time from Calcium Peak to Relaxation (ms),Conduction Velocity (cm/s),Electrophysiology Analysis Method,Action Potential Conduction Velocity (cm/s),Action Potential Amplitude (mV),Resting Membrane Potential (mV),Max Capture Rate of Paced CMs (Hz),Metabolic Analysis Method,Fatty Acid Metabolism Measured,Gene Analysis Method,Pharmacological Interventions,Disease Modelling,MYH7 Percentage (MYH6),MYL2 Precentage (MYL7),TNNI3 Precentage (TNNI1),Deduced Culture Strategy,Seeding Confluency 2D (%),Seeding Confluency 3D (%),Wnt Induction Duration (days),Wnt Induction Duration (days) Quantiles,Wnt Inhibitor Duration (days),Wnt Inhibitor Duration (days) Quantiles,Insulin Start Day,Insulin Withdrawal Duration (days),Insulin Withdrawal Duration (days) Quantiles,hiPSC-CM Purification Duration (days),hiPSC-CM Purification Duration (days) Quantiles,Differentiation Purity (%) Quantiles,hiPSC-CM Maintenance/Maturation Media,3D CM Ratio (CM-EC-SC),3D CM Ratio (CM-EC-SC) Quantiles,3D EC Ratio (CM-EC-SC),3D EC Ratio (CM-EC-SC) Quantiles,3D SC Ratio (CM-EC-SC),3D SC Ratio (CM-EC-SC) Quantiles,3D Estimated Cell Density (mil cells/mL) Quantiles,3D Estimated Tissue Size (mm2) Quantiles,Sarcomere Length (um) Quantiles,Cell Area (um2) Quantiles,Contractile Force (mN) Quantiles,Contractile Stress (mN/mm2) Quantiles,Contraction Upstroke Velocity (um/s) Quantiles,Calcium Flux Amplitude (F/F0) Quantiles,Beat Rate (bpm) Quantiles,Time to Calcium Flux Peak (ms) Quantiles,Time from Calcium Peak to Relaxation (ms) Quantiles,Conduction Velocity from Calcium Imaging (cm/s) Quantiles,Action Potential Conduction Velocity (cm/s) Quantiles,Action Potential Amplitude (mV) Quantiles,Resting Membrane Potential (mV) Quantiles,Max Capture Rate of Paced CMs (Hz) Quantiles,MYH7 Percentage (MYH6) Quantiles,MYL2 Precentage (MYL7) Quantiles,TNNI3 Precentage (TNNI1) Quantiles
"Horikoshi, Y. et al. Fatty acid-treated induced pluripotent stem cell-derived human cardiomyocytes exhibit adult cardiomyocyte-like energy metabolism phenotypes. Cells 8, (2019).", Fatty acid-treated induced pluripotent stem cell-derived human cardiomyocytes exhibit adult cardiomyocyte-like energy metabolism phenotypes,,https://doi.org/10.3390/cells8091095,2019," Cells 8, (2019)","1013, H3083",2,"NaN, NaN","NaN, NaN",Matrigel,mTeSR-1,,RPMI-1640,B27,CHIR99021,0-2,IWP4,3-May,No glucose with lactate,20-27,Flow cytometry for cTnT+,98,"Glucose free DMEM, 4-(2-hydroxyethyl)-1-piperazineethanesulfonic acid) HEPES, l-carnitine inner salt, creatine, taurine, NEAA, linoleic-oleic acid ",Matrigel,Yes,"L-carnitine, creatine, taurine, nonessential amino acids, insulin-transferrin-selenium, linoleic-oleic acid",,,,,,,,ECM-coated plastic/glass,,,,,,,,Yes,,,,6000,,,,,,,,,,,,,,,,,Seahorse,Yes,PCR,,,,,,2D Only,,,2,Q2,2,Q2,5,,,7,Q1,Q1,"Glucose free DMEM, 4-(2-hydroxyethyl)-1-piperazineethanesulfonic acid) HEPES, l-carnitine inner salt, creatine, taurine, NEAA, linoleic-oleic acid ",,,,,,,,,,Q1,,,,,,,,,,,,,,,
"Horváth, A. et al. Low Resting Membrane Potential and Low Inward Rectifier Potassium Currents Are Not Inherent Features of hiPSC-Derived Cardiomyocytes. Stem Cell Reports 10, 822833 (2018).", Low Resting Membrane Potential and Low Inward Rectifier Potassium Currents Are Not Inherent Features of hiPSC-Derived Cardiomyocytes,,https://doi.org/10.1016/j.stemcr.2018.01.012,2018," Stem Cell Reports 10, 822833 (2018)",C25,1,Female,Caucasian,EBs,FTDA,EB,,,"Activin A, BMP4, bFGF",0-3,DS07,3-Jul,,,,,,,,,,Yes,,,,,,,Fibrin + matrigel,CM,,,"DMEM,heat,inactivated,horse,serum,aprotinin",10,100,,,,,,,,,,,,,,,,,Optical mapping,,,-75,,,,PCR,carbamylcholine,,,,,3D Only,,,3,Q1,4,Q1,3,,,,,,,100,Q1,0,Q2,0,Q3,Q3,Q1,,,,,,,,,,,,,Q2,,,,
"Hu, D. et al. Metabolic maturation of human pluripotent stem cell derived cardiomyocytes by inhibition of HIF1? and LDHA. Circ Res 123, 10661079 (2018).", Metabolic maturation of human pluripotent stem cellderived cardiomyocytes by inhibition of HIF1? and LDHA,,https://doi.org/10.1016/j.celrep.2020.107925,2018," Circ Res 123, 10661079 (2018)",BJ RiPS-D,1,,,Matrigel,E8,95,RPMI-1640,"GlutaMax, Gem21 NeuroPlex Serum-Free",CHIR99021,0-1,IWP4,3-May,No glucose with lactate,Oct-16,Flow cytometry for cTnT+,90,,Matrigel,Yes,"Palmitic acid, oleic acid, HIF1? inhibitior chetomin, a selective and potent LDHA inhibitor GSK 2837808A",,,,,,,,ECM-coated plastic/glass,,,,,,,,Yes,TEM,,2.1,,,Motion tracking analysis,0.0003,,200,Dye,8,,,,,Patch clamp,,114,-74,,Seahorse,Yes,PCR,,,,,,2D Only,95,,1,Q3,2,Q2,7,,,6,Q1,Q3,RPMI-1640,,,,,,,,,Q1,,Q5,,Q1,Q1,,,,,,Q1,Q2,,,,
"Huang, C. Y. et al. Enhancement of human iPSC-derived cardiomyocyte maturation by chemical conditioning in a 3D environment. J Mol Cell Cardiol 138, 111 (2020).", Enhancement of human iPSC-derived cardiomyocyte maturation by chemical conditioning in a 3D environment,,https://doi.org/10.1016/j.yjmcc.2019.https://doi.org/10.001,2020," J Mol Cell Cardiol 138, 111 (2020)",in-house,1,,,Geltrex,E8,85,RPMI-1640,B27,CHIR99021,0-2,IWR1,3-May,,,Flow cytometry for cTnT+,92,"RPMI-1640, B27, T3, IGF-1, dexamethasone",Geltrex,Yes,"Thyroid hormone T3, dexamethasone, IGF-1",,Yes,Yes,,,,,ECM-coated plastic/glass,Collagen + fibrin,CM + EC + SC,hCF,HUVEC,"RPMI,1640,B27,T3,IGF,1,dexamethasone",0.019,0.062,Yes,TEM,,1.9,,Yes,Post deflection,,2.7,,Dye,0.6,,,,,Optical mapping,20,,,4,,,PCR,isoproterenol,,,,,2D and 3D,,,2,Q2,2,Q2,9,,,,,Q2,"RPMI-1640, B27, T3, IGF-1, dexamethasone",75,Q3,10,Q1,15,Q1,Q5,Q5,Q2,,,Q2,,Q4,,,,,Q2,,,Q1,,,
"Huebsch, N. et al. Automated video-based analysis of contractility and calcium flux in human-induced pluripotent stem cell-derived cardiomyocytes cultured over different spatial scales. Tissue Eng Part C Methods 21, 467479 (2015).", Automated video-based analysis of contractility and calcium flux in human-induced pluripotent stem cell-derived cardiomyocytes cultured over different spatial scales,,https://doi.org/10.1089/ten.TEC.2014.0283,2015," Tissue Eng Part C Methods 21, 467479 (2015)",WTC11,1,Male ,Asian,Matrigel,E8,,RPMI-1640,B27,CHIR99021,0-1,IWP2,3-May,,,Flow cytometry for cTnT+,70,,Matrigel,,,,,,,,,,ECM-coated plastic/glass,,,,,,,,,,,,,,Motion tracking analysis ,,,80,Genetically encoded sensor ,,,,,,Patch clamp; MEA,,,-60,,,,,isoproterenol,,,,,2D Only,,,1,Q3,2,Q2,7,,,,,Q5,RPMI-1640,,,,,,,,,,,,,Q1,,,,,,,,Q4,,,,
"Huebsch, N. et al. Metabolically driven maturation of human-induced-pluripotent-stem-cell-derived cardiac microtissues on microfluidic chips. Nat Biomed Eng 6, 372388 (2022).", Metabolically driven maturation of human-induced-pluripotent-stem-cell-derived cardiac microtissues on microfluidic chips,,https://doi.org/10.1038/s41551-022-00884-4,2022," Nat Biomed Eng 6, 372388 (2022)","WTC11, SCVI-20, SCVI-273, G15.AO",4,"Male, NaN, NaN, NaN","Asian, NaN, NaN, NaN",Matrigel,E8,90,RPMI-1640,"B27, L-ascorbic acid",CHIR99021,0-1,IWP2,2-Apr,No glucose with lactate,16-18,Flow cytometry for cTnT+,98,"Glucose-free RPMI-1640, B-27, galactose, BSA, oleic acid, palmitic acid",,Yes,"Oleic acid, palmitic acid ",,Yes,Yes,,,Yes,,,Scaffold free,CM + SC,hiPSC-SC,,"Glucose,free,RPMI,1640,B,27,glucose,galactose,BSA,oleic,acid,palmitic,acid",6.6,0.05,Yes,,,,,,Post deflection,,3,,Genetically encoded sensor,0.03,60,,,,Optical mapping,,,,,Seahorse,Yes,PCR,"verapamil, flecainide, alfuzosin, isoproterenol",,,,,3D Only,,,1,Q3,2,Q2,6,,,2,Q2,Q1,"Glucose-free RPMI-1640, B-27, galactose, BSA, oleic acid, palmitic acid",80,Q2,0,Q2,20,Q1,Q3,Q5,,,,Q2,,Q5,Q2,,,,,,,,,,
"Huebsch, N. et al. Miniaturized iPS-Cell-Derived Cardiac Muscles for Physiologically Relevant Drug Response Analyses. Sci Rep 6, (2016).", Miniaturized iPS-Cell-Derived Cardiac Muscles for Physiologically Relevant Drug Response Analyses,,https://doi.org/10.1038/srep24726,2016," Sci Rep 6, (2016)",WTC11,1,Male,Asian,Matrigel,E8,,RPMI-1640,"B27, L-ascorbic acid",CHIR99021,0-1,IWP2,3-May,No glucose with lactate,20-24,Flow cytometry for cTnT+,91,,,,,,Yes,Yes,,,,,,Scaffold free,CM + SC,hiPSC-SC,,"RPMI,1640,B27,L,ascorbic,acid",,0.5,Yes,SEM,Yes,,,,Force transducer,,4,,Genetically encoded sensor,,38,,,,,,,,,,,,"isoproterenol, verapamil",,,,,3D Only,,,1,Q3,2,Q2,7,4,Q2,4,Q2,Q2,RPMI-1640,50,Q3,0,Q2,50,Q1,,Q4,,,,Q1,,,Q4,,,,,,,,,,
"Huethorst, E. et al. Customizable, engineered substrates for rapid screening of cellular cues. Biofabrication 12, (2020)."," Customizable, engineered substrates for rapid screening of cellular cues",,https://doi.org/10.1088/1758-5090/ab5d3f,2020," Biofabrication 12, (2020)",Pluricyte,1,,,,,,,,,,,,,,,,,Fibronectin,,,,,,,Yes,,,Nanotopography,,,,,,,,Yes,,,,,,Motion tracking analysis,,,,,,,,,,Optical mapping,,,,,,,,,,,,,2D Only,,,1,Q3,1,Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hwang, G. H. et al. Purification of small molecule-induced cardiomyocytes from human induced pluripotent stem cells using a reporter system. J Cell Physiol 232, 33843395 (2017).", Purification of small molecule-induced cardiomyocytes from human induced pluripotent stem cells using a reporter system,,https://doi.org/10.1002/jcp.25783,2017," J Cell Physiol 232, 33843395 (2017)",ATCC,1,,,Matrigel,mTeSR-1,,RPMI-1640,B27,CHIR99021,0-1,"XAV939, IWP2",3-May,,,Flow cytometry for cTnT+,98,,Gelatin,,,,,,,,,,ECM-coated plastic/glass,,CM,,,,,,Yes,,,,,,,,,,,,,,,,,,86,,,,,PCR,,,,,,2D Only,,,1,Q3,2,Q2,7,,,,,Q1,RPMI-1640,100,Q1,0,Q2,0,Q3,,,,,,,,,,,,,,Q4,,,,,
"Hwang, H. S. et al. Comparable calcium handling of human iPSC-derived cardiomyocytes generated by multiple laboratories. J Mol Cell Cardiol 85, 7988 (2015).", Comparable calcium handling of human iPSC-derived cardiomyocytes generated by multiple laboratories,,https://doi.org/10.1016/j.yjmcc.2015.05.003,2015," J Mol Cell Cardiol 85, 7988 (2015)","13FLVN0C1, CC2, DF19-9-11T.H",3,"NaN, NaN, Male","NaN, NaN, NaN",Matrigel,mTeSR-1,80,RPMI-1640,B27,CHIR99021,0-1,IWP1,3-May,,,Flow cytometry for cTnT+,88,,Matrigel,,,,,,,,,,ECM-coated plastic/glass,,,,,,,,,,,,2000,,,,,,Dye,1.1,,600,,,,,,,,,,,,,,,,2D Only,80,,1,Q3,2,Q2,7,,,,,Q3,RPMI-1640,,,,,,,,,,Q2,,,,Q3,,Q1,,,,,,,,,
"Iseoka, H. et al. Pivotal Role of Non-cardiomyocytes in Electromechanical and Therapeutic Potential of Induced Pluripotent Stem Cell-Derived Engineered Cardiac Tissue. Tissue Eng Part A 24, 287300 (2018).", Pivotal Role of Non-cardiomyocytes in Electromechanical and Therapeutic Potential of Induced Pluripotent Stem Cell-Derived Engineered Cardiac Tissue,,https://doi.org/10.1089/ten.TEA.2016.0535,2018," Tissue Eng Part A 24, 287300 (2018)",253G1,1,,,EBs,MEF-conditioned medium,EB,StemPro-34,"L-ascorbic acid, L-glutamine, 1-thioglycerol","Activin A, BMP4, bFGF",0-4,IWR1,4-Jun,,,Flow cytometry for cTnT+,92,,,,,,,Yes,,,,,,Scaffold free,CM + SC,hiPSC-SC,,"DMEM,FBS",,,Yes,,,,,,Motion tracking analysis,,,11,Dye,1.12,35,,,15,MEA; Optical mapping,,,,2,,,PCR,,,,,,3D Only,,,4,Q1,2,Q2,,,,,,Q2,StemPro-34,70,Q3,0,Q2,30,Q1,,,,,,,Q3,Q3,Q4,,,Q2,,,,Q2,,,
"Jabbour, R. J. et al. In vivo grafting of large engineered heart tissue patches for cardiac repair. JCI Insight (2021).", In vivo grafting of large engineered heart tissue patches for cardiac repair,,https://doi.org/10.1172/jci.insight.144068,2021,JCI Insight.(2021),IMR-90,1,Female,,Matrigel,"mTeSR-1, E8",85,RPMI-1640,B27,CHIR99021,0-2,Wnt-C59,3-Apr,No glucose,Nov-15,Flow cytometry for cTnT+,97,,,,,,,,,,Yes,,,Fibrin,CM,,,"DMEM,horse,serum,insulin,aprotinin",0.04,375,Yes,,Yes,,,Yes,Motion tracking analysis,,,,Genetically encoded sensor,,,300,,,,,,,,,,,,,,,,3D Only,,,2,Q2,1,Q3,8,,,4,Q2,Q1,RPMI-1640,100,Q1,0,Q2,0,Q3,Q5,Q1,,,,,,,,Q2,,,,,,,,,
"Jayne, R. K. et al. Direct laser writing for cardiac tissue engineering: A microfluidic heart on a chip with integrated transducers. Lab Chip 21, 17241737 (2021).", Direct laser writing for cardiac tissue engineering: A microfluidic heart on a chip with integrated transducers,,https://doi.org/10.1039/D0LC01078B,2021," Lab Chip 21, 17241737 (2021)",PGP1,1,Male,Caucasian,,mTeSR-1,,RPMI-1640,B27,CHIR99021,0-1,IWP4,3-May,No glucose with lactate,Sep-13,,,,,,,,,,Yes,,,,,Collagen,CM + SC,hMSC,,"DMEM,FBS,GlutaMax,NEAAs",,0.28,Yes,,,,,,MEMS sensor,0.055,,,,,,,,,,,,,,,,,,,,,,3D Only,,,1,Q3,2,Q2,7,4,Q2,4,Q2,,RPMI-1640,90,Q2,0,Q2,10,Q2,,Q4,,,Q4,,,,,,,,,,,,,,
"Jeziorowska, D. et al. Differential sarcomere and electrophysiological maturation of human iPSC-derived cardiac myocytes in monolayer vs. Aggregation-based differentiation protocols. Int J Mol Sci 18, (2017).", Differential sarcomere and electrophysiological maturation of human iPSC-derived cardiac myocytes in monolayer vs  Aggregation-based differentiation protocols,,https://doi.org/10.3390/ijms18061173,2017," Int J Mol Sci 18, (2017)",in-house (4),4,,,"EBs, Matrigel",mTeSR-1,"75,EB",StemPro-34 or RPMI-1640,"B27, L-ascorbic acid","Activin A, BMP4, CHIR99021",0-3,IWR1 or IWP2,3-Aug,,,Flow cytometry for cTnT+,54,,Fibronectin,,,,,,,,,,ECM-coated plastic/glass,Scaffold free,CM,,,,,,Yes,,Yes,1.9,2850,,,,,,,,,,,,Patch clamp,,98,-76,,,,PCR,,,,,,2D and 3D,,,3,Q1,5,Q1,,,,,,Q5,StemPro-34 or RPMI-1640,,,,,,,,,Q2,Q2,,,,,,,,,,Q3,Q2,,,,
"Jha, R. et al. A long non-coding RNA GATA6-AS1 adjacent to GATA6 is required for cardiomyocyte differentiation from human pluripotent stem cells. FASEB Journal 34, 1433614352 (2020).", A long non-coding RNA GATA6-AS1 adjacent to GATA6 is required for cardiomyocyte differentiation from human pluripotent stem cells,,https://doi.org/10.1096/fj.202000206R,2020," FASEB Journal 34, 1433614352 (2020)","IMR-90, SCVI-273",2,"Female, NaN","NaN, NaN",Matrigel,mTeSR-1,85,RPMI-1640,B27,CHIR99021,0-2,IWR1,3-May,,,"Flow cytometry for cTnT+, Flow cytometry for a-actinin+",84,,,,,,,,,,,,ECM-coated plastic/glass,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,"RNA-seq, PCR",,,,,,2D Only,85,,2,Q2,2,Q2,5,,,,,Q4,RPMI-1640,,,,,,,,,,,,,,,,,,,,,,,,,
"Jia, J. et al. Development of peptide-functionalized synthetic hydrogel microarrays for stem cell and tissue engineering applications. Acta Biomater 45, 110120 (2016).", Development of peptide-functionalized synthetic hydrogel microarrays for stem cell and tissue engineering applications,,https://doi.org/10.1016/j.actbio.2016.09.006,2016," Acta Biomater 45, 110120 (2016)",iCell,1,,,,,,iCell Maintenance Medium (CDI),iCell Maintenance Medium (CDI),,,,,,,,,,Gelatin,,,,,,,,Yes,,Hydrogel,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2D Only,,,1,Q3,1,Q3,,,,,,,iCell Maintenance Medium (CDI),,,,,,,,,,,,,,,,,,,,,,,,,
"Jiang, X. et al. Construction of chamber-specific engineered cardiac tissues in vitro with human iPSC-derived cardiomyocytes and human foreskin fibroblasts. J Biosci Bioeng 132, 198205 (2021).", Construction of chamber-specific engineered cardiac tissues in vitro with human iPSC-derived cardiomyocytes and human foreskin fibroblasts,,https://doi.org/10.1016/j.jbiosc.2021.04.012,2021," J Biosci Bioeng 132, 198205 (2021)",Not listed,1,,,,mTeSR-1,90,RPMI-1640,B27,"CHIR99021, rapamycin",0-1,"XAY939, KY02111, BMS493",3-Jul,No glucose with lactate,Oct-14,Flow cytometry for cTnT+,81,"DMEM/F12, FBS",,,,,Yes,Yes,,,,,,Collagen + matrigel,CM + SC,"hFF, hMSC, hCF",,"DMEM,F12,FBS",10,2.9,Yes,,,,,,Post deflection,,0.8,,,,,,,,,,,,,,,,"isoproterenol, nifedipine",,,,,3D Only,,,1,Q3,4,Q1,8,4,Q2,4,Q2,Q4,"DMEM/F12, FBS",75,Q3,0,Q2,25,Q1,Q3,Q3,,,,Q3,,,,,,,,,,,,,
"Jiang, Y. et al. Myocardial repair of bioengineered cardiac patches with decellularized placental scaffold and human-induced pluripotent stem cells in a rat model of myocardial infarction. Stem Cell Res Ther 12, (2021).", Myocardial repair of bioengineered cardiac patches with decellularized placental scaffold and human-induced pluripotent stem cells in a rat model of myocardial infarction,,https://doi.org/10.1186/s13287-020-02066-y,2021," Stem Cell Res Ther 12, (2021)",KS1,1,Male,Caucasian-Sardinian,Matrigel,mTeSR-1,75,RPMI-1640,B27,CHIR99021,0-1,IWP2,4-Jun,No glucose with lactate,Unclear,,,,,,,,,,,,,Yes,,Decellularized tissue,CM,,,"DMEM,F12,FBS",,100,Yes,TEM,,1.35,,,,,,,Dye,,70,,,1.5,,,,,,,,"RNA-seq, PCR",isoproterenol,,,,,3D Only,,,1,Q3,2,Q2,8,,,1,Q2,,RPMI-1640,100,Q1,0,Q2,0,Q3,,Q1,Q5,,,,,,Q1,,,Q3,,,,,,,
"Jung, G. et al. Time-dependent evolution of functional vs. remodeling signaling in induced pluripotent stem cell-derived cardiomyocytes and induced maturation with biomechanical stimulation. FASEB Journal 30, 14641479 (2016).", Time-dependent evolution of functional vs remodeling signaling in induced pluripotent stem cell-derived cardiomyocytes and induced maturation with biomechanical stimulation,,https://doi.org/10.1096/fj.15-280982,2016," FASEB Journal 30, 14641479 (2016)",in-house,3,,,Matrigel,E8,90,RPMI-1640,B27,CHIR99021,0-2,IWR1,3-Apr,No glucose,Oct-15,,,,Matrigel,,,,,,,,,,Microgrooves in PDMS,,,,,,,,Yes,,Yes,,,,,,,,Dye,,32,,,,,,,,,,,PCR,isoproterenol,,,,,2D Only,90,,2,Q2,1,Q3,7,,,5,Q1,,RPMI-1640,,,,,,,,,,,,,,,Q4,,,,,,,,,,
"Kaiser, N. J., Kant, R. J., Minor, A. J. & Coulombe, K. L. K. Optimizing Blended Collagen-Fibrin Hydrogels for Cardiac Tissue Engineering with Human iPSC-derived Cardiomyocytes. ACS Biomater Sci Eng 5, 887899 (2019).", Optimizing Blended Collagen-Fibrin Hydrogels for Cardiac Tissue Engineering with Human iPSC-derived Cardiomyocytes,,https://doi.org/10.1021/acsbiomaterials.8b01112,2019," ACS Biomater Sci Eng 5, 887899 (2019)",Gibco episomal,2,,,Vitronectin,,,RPMI-1640,B27,CHIR99021,0-3,IWP2,,No glucose with lactate,20-24,Flow cytometry for cTnT+,45,,Matrigel,,,,,,,,,,,Collagen + fibrin,CM,,,"RPMI,1640,B27,aprotinin",15,20,Yes,,,,,,Force transducer ,,0.54,,Genetically encoded sensor,,,,,,,,,,,,,,,,,,,3D Only,,,3,Q1,1,Q3,15,4,Q2,4,Q2,Q5,RPMI-1640,100,Q1,0,Q2,0,Q3,Q2,Q2,,,,Q3,,,,,,,,,,,,,
"Kallepitis, C. et al. Quantitative volumetric Raman imaging of three dimensional cell cultures. Nat Commun 8, (2017).", Quantitative volumetric Raman imaging of three dimensional cell cultures,,https://doi.org/10.1038/ncomms14843,2017," Nat Commun 8, (2017)",Gibco episomal,1,,,Matrigel,E8,100,RPMI-1640,B27,CHIR99021,0-1,IWP4,3-May,No glucose and lactate,9-Dec,,,,,,,,,,,,,,ECM-coated plastic/glass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2D Only,100,,1,Q3,2,Q2,7,3,Q2,3,Q2,,RPMI-1640,,,,,,,,,,,,,,,,,,,,,,,,,
"Kawaguchi, S. et al. Intramyocardial Transplantation of Human iPS CellDerived Cardiac Spheroids Improves Cardiac Function in Heart Failure Animals. JACC Basic Transl Sci 6, 239254 (2021).", Intramyocardial Transplantation of Human iPS CellÃÂDerived Cardiac Spheroids Improves Cardiac Function in Heart Failure Animals,,https://doi.org/10.1016/j.jacbts.2020.11.017,2021," JACC Basic Transl Sci 6, 239254 (2021)",253G4,1,,,Matrigel,StemFit,EB,RPMI-1640,B27,"CHIR99021, BMP4",,IWR1,,No glucose with lactate,13-17,Flow cytometry for cTnT+,98,"MEM-?, FBS",,,,,,,,,,,,Scaffold free,CM,,,"MEM,FBS",0.2,0.03,Yes,,,,,,Motion tracking analysis,,,,,,,,,,,,,,,,,,,,,,,3D Only,,,1,Q3,1,Q3,7,4,Q2,4,Q2,Q1,"MEM-?, FBS",100,Q1,0,Q2,0,Q3,Q5,Q5,,,,,,,,,,,,,,,,,
"Kawai, Y. et al. Scaffold-Free Tubular Engineered Heart Tissue From Human Induced Pluripotent Stem Cells Using Bio-3D Printing Technology in vivo. Front Cardiovasc Med 8, (2022).", Scaffold-Free Tubular Engineered Heart Tissue From Human Induced Pluripotent Stem Cells Using Bio-3D Printing Technology in vivo,,https://doi.org/10.3389/fcvm.2021.806215,2022," Front Cardiovasc Med 8, (2022)",253G4,1,,,Matrigel,StemFit,90,RPMI-1640,B27,CHIR99021,0-1,IWR1,3-Jun,StemFit Media,Dec-14,Flow cytometry for cTnT+,99,"MEM-?, FBS",,,,,Yes,Yes,,,,,,Scaffold free,CM + EC + SC,hDF,HUVEC,,0.6,2.9,Yes,,,,,,Motion tracking analysis,,,,,,27,,,,,,,,,,,,,,,,,3D Only,,,1,Q3,3,Q1,,,,2,Q2,Q1,"MEM-?, FBS",50,Q3,25,Q1,25,Q1,Q4,Q3,,,,,,,Q5,,,,,,,,,,
"Kawatou, M. et al. Modelling Torsade de Pointes arrhythmias in vitro in 3D human iPS cell-engineered heart tissue. Nat Commun 8, (2017).", Modelling Torsade de Pointes arrhythmias in vitro in 3D human iPS cell-engineered heart tissue,,https://doi.org/10.1038/s41467-017-01125-y,2017," Nat Commun 8, (2017)","836B3, MiraCell® cardiomyocytes from ChiPSC12 Takara Bio Inc)",2,,,Matrigel,"MEF-conditioned medium, bFGF",,RPMI-1640,"B27, L-glutamine","Activin A, BMP4, bFGF",0-5,"XAV939, IWP4",1-Sep,,,Flow cytometry for cTnT+,96,,"Matrigel, Fibronectin",,,,,,,,,,ECM-coated plastic/glass,,,,,"MEM,FBS,mercaptoethanol",,,Yes,,,,,,,,,,,,,,,,,,,,,,,,E4031,,,,,2D Only,,,5,Q1,8,Q1,1,,,,,Q1,RPMI-1640,,,,,,,,,,,,,,,,,,,,,,,,,
"Kerscher, P. et al. Direct hydrogel encapsulation of pluripotent stem cells enables ontomimetic differentiation and growth of engineered human heart tissues. Biomaterials 83, 383395 (2016).", Direct hydrogel encapsulation of pluripotent stem cells enables ontomimetic differentiation and growth of engineered human heart tissues,,https://doi.org/10.1016/j.biomaterials.2015.12.011,2016," Biomaterials 83, 383395 (2016)","IMR-90, DF19-9-11T.H",2,"Female, Male","NaN, NaN",Matrigel,mTeSR-1,,RPMI-1640,B27,CHIR99021,0-1,IWP2,3-May,,,Flow cytometry for cTnT+,74,,,,,,,,,,,,,PEG + ECM,CM,,,"RPMI,1640,B27",,21,Yes,TEM,Yes,1.8,2163,Yes,Motion tracking analysis,,,,Dye,,,,,,,,,,,,,PCR,"isoproterenol, propranolol",,,,,3D Only,,,1,Q3,2,Q2,7,,,,,Q5,RPMI-1640,100,Q1,0,Q2,0,Q3,,Q2,Q3,Q2,,,,,,,,,,,,,,,
"Khan, M. et al. Evaluation of changes in morphology and function of human induced pluripotent stem cell derived cardiomyocytes (hiPSC-CMs) cultured on an aligned-nanofiber cardiac patch. PLoS One 10, (2015).", Evaluation of changes in morphology and function of human induced pluripotent stem cell derived cardiomyocytes (hiPSC-CMs) cultured on an aligned-nanofiber cardiac patch,,https://doi.org/10.1371/journal.pone.0126338,2015," PLoS One 10, (2015)",iCell,1,,,,,,iCell Maintenance Medium (CDI),,,,,,,,,,,Gelatin,,,,,,,Yes,,,Electrospun fibers,,,,,,,,Yes,"SEM, TEM",,1.7,,,,,,,,2,,400,,,Patch clamp,,100,-74,,,,PCR,,,,,,2D Only,,,1,Q3,1,Q3,,,,,,,iCell Maintenance Medium (CDI),,,,,,,,,Q4,,,,,Q2,,Q1,,,,Q3,Q2,,,,
